tag,gene,description,include
KpCip4_C_KPHS_42920_0.97,,,x
KpCip4_C_KPHS_44560_0.95,,,x
KpCip4_C_KPHS_47740_0.92,,,x
KpCip4_R01up_KPHS_33810_0.97,yebG,SOS regulon DNA damage-inducible protein,x
KpCip4_R02up_KPHS_02830_0.97,ssb,single-strand DNA-binding protein,x
KpCip4_R03up_KPHS_41020_0.92,recA,recombinase A,x
KpCip4_R04dn_KPHS_18380_0.97,ompF,,x
KpCip4_R05up_KPHS_37080_0.97,nrdA,ribonucleoside-diphosphate reductase subunit alpha,x
KpCip4_R06up_KPHS_41010_0.95,recX,,x
KpCip4_R07up_KPHS_02820_0.97,uvrA,,x
KpCip4_R08up_KPHS_03450_0.92,phnA,,x
KpCip4_R09up_KPHS_53000_0.97,pstS,,x
KpCip4_R10up_KPHS_37090_0.97,nrdB,,x
KpCip4_R11dn_KPHS_31980_0.95,PRK10947,DNA-binding transcriptional regulator H-NS,
KpCip4_R12up_KPHS_40580_0.95,bamE,,
KpGent2_C_KP1_0027_0.97,,,x
KpGent2_C_KP1_0117_0.95,,,x
KpGent2_C_KP1_0191_0.92,,,x
KpGent2_C_KP1_0490_0.97,,,x
KpGent2_C_KP1_0974_0.97,,,x
KpGent2_C_KP1_1702_0.97,,,x
KpGent2_C_KP1_4377_0.97,,,x
KpGent2_C_KP1_4445_0.97,,,x
KpGent2_Rdn_KP1_3311_0.97,adhE,,x
KpGent2_Rdn_KP1_3910_0.95,nuoL,,x
KpGent2_Rdn_KP1_3919_0.92,nuoE,,x
KpGent2_Rup_KP1_0325_0.92,soxS,,x
KpGent2_Rup_KP1_0837_0.95,nhaA,,x
KpGent2_Rup_KP1_0838_0.92,nhaR,,x
KpGent2_Rup_KP1_2658_0.92,marA,,x
KpGent2_Rup_KP1_3472_0.95,htpX,,x
KpGent2_Rup_KP1_5467_0.97,ibpB,,x
KpGent2_Rup_KP1_5468_0.95,ibpA,,x
